,Sentiment,SentimentText
14117,0,...been dealing w/ horrible pains all morning! I'm hoping they will ease up very very soon!!
87485,0,<MENTION> haha.. i still havent seen twilight. i cannot roleplay il watch it later and il join.. lmao is there private twitter?
84112,1,<MENTION> fun fact: a LOT of girls from my old school are going to be there!
82152,0,<MENTION> I'm so sorry about the show Fingers crossed that something else can be worked out Sending you hugs.
2042,1,"- go & try the yummo & super hot 'plecing kangkung' + ayam bakar taliwang.. **sexy food from exotic country,Indonesia"
9476,1,'caught'
44180,1,<MENTION><MENTION> Booom diia amr's
56687,1,"<MENTION> you too, seems like you're halfway there already, great news"
55863,1,<MENTION> yea that movie is good
78999,1,<MENTION> good mornin!!!! What R u up 2? im getting off work in 2 hours
20116,1,<MENTION> Oooh Did you absoloutely love it!?
9702,1,"'Fate fell short this time, your smile fades in the summer. place your hand in mine, i'll leave when i wanna.'"
8993,0,' Thinking about school
43767,0,<MENTION> i'm not happy at that;always sad at the end of a mac.let me know if you want the data rescuing off it-or is it being replaced?
98043,1,"<MENTION> I have always wanted to go to Nova Scotia, it looks so beautiful, enjoy your berries"
49531,0,<MENTION> we discussed this before! And it makes me sad
54077,0,<MENTION> not yet!
96588,1,"<MENTION> nobody haha, i know a lot of people, they gave me shout outa for free"
50083,1,<MENTION>: i dyed mine too! what color is yours?
3481,0,so tired from work <URL>
61979,1,<MENTION> OH MY GOSH! im so happy for you!
54220,1,<MENTION> yea its been so sunny here today in Cambridge
75904,0,"<MENTION> haha, yeah he's as bad as the rest of us! - i'm feelin a bit better.. but i havent been well since i got back.."
54043,1,"<MENTION> I wouldn't want to live on it, but on a really cold night like tonight it's really appreciated. May have double"
97725,1,"<MENTION> Yeh i know. I hope it'll be great & remembeeeer: USA = GREAT, BAC = NOT GREAT xD"
97358,1,"<MENTION> You too, my friend. 90 is just a bit too hot for me."
49583,1,"<MENTION> CONGRATULATION ASH! I love you so much, you deserve it, i can't wait for your new cd! Have a nice day"
62241,0,<MENTION> Sorry for the delay on that. Still haven't figured out why you & two others didn't get the e-mail.
74467,1,<MENTION> btw do u have exam is dats the reason ur studying well if it is gudluck with ur exam
49813,1,<MENTION> but it is kind of a goal for us. and it will motivation us to study ard to achieve our goal.
31951,1,<MENTION> let me know how it went i wanted to come but i just got home
75876,1,<MENTION> Congrats! I found that during my 3rd year of teaching and 3rd year of principalship I finally started getting it.
73562,1,<MENTION><MENTION> Always a pleasure!
71977,0,<MENTION> It's true. We missed you!
19502,1,<MENTION> I'm not used to being peaceful that's all I think I need to to come down there and enjoy the wildlife it would be dope
28598,1,<MENTION> Lovee Youu Abigaillyy!
13630,0,'Oh lord won't chu buy meeeeeeeeee...' I want some new new wheels
92697,1,<MENTION><MENTION> Some like the new <URL> and some don't - tough world pleasing us all eh!
6030,0,<HASHTAG> teeth that look like you've been chewing on rocks ur entire life.
95915,0,<MENTION> dude text me back! what u get?? I wanna go shopping! U go to liverpool?
33516,1,<MENTION> I love Stavros Flatley!
67831,0,<MENTION> I switched to linux.. Yamli is great.. but mesh bas7melo for long writings
91143,1,<MENTION> Goodnight Miss Q you take care
15732,0,"<MENTION> & <MENTION>, and sadly that plugin has no keyboard support, which form hijaxing should definitely ship with nowadays"
92662,0,"<MENTION> Yeah, not great out today"
18697,1,@ work....IRRITATED!!!! UGH!!! can't wait to get home to have a beer
84909,1,<MENTION> in english please pal
59191,1,<MENTION> swt drms u
53117,1,"<MENTION> yea..i loved that movie..i cried...joel would hav loved it, definitely"
151,0,(via<MENTION>) are designed gallery exhibition postcards/mailers going extinct? via NYT <URL>
2663,0,i hate when my boyfriend has a bad day!
61561,1,<MENTION> you guys are amazing! thank you for the t-shirt and making my birthday rockin! p.s. love your cd
6079,0,Radio Disney isn't playing anything here! WTF??
85552,0,<MENTION> california sucks... I have to have my ferret in mex...
74663,1,"<MENTION> I don't know how many, but there are at least two who admit to it!"
45753,1,<MENTION> She sleeps next to me every night Only now she won't even let me put her down to do that. She wants me to hold her
55880,0,<MENTION> I wish I could. Too much work
20460,0,<MENTION> I can't believe you've watched it without me
10067,0,'so we're going to take advantage of you while you're here' and give you 3 hours a day to leave the house <-- my parents
43584,1,"<MENTION> Oooohhh, a whole 115! I'm jealous"
10437,1,"'Soulove Deep Episode#7' is comin', full of Jackin House tunes!!!"
45298,1,<MENTION> I love that show! LOL. And I love you too! Please say hi to me.
18017,0,..Going home.. Without Maizie..
43487,0,<MENTION> hahaha wow. You mean you've never been proud of me before?
89976,1,"<MENTION> I got the e-mail from MT this morning instead. I'm so happy! I just wonder how long it'll take before it gets here, though. >_>"
19027,1,<MENTION> i am yours in week 10 i love you xox
51734,1,<MENTION> that game was reediculous. i'm glad ozzy got a blow out
98392,1,<MENTION> no problem keep em coming ur hittin the jackpot big time
58946,1,<MENTION> what pigs?! where ARE you!
42949,0,<MENTION> poor Amy. well at least its not hot out.
25377,1,<MENTION> aw bless you and your twitpic i hope i helped with the boredom for just a little bit
21697,1,"<MENTION>, dude let's see Up in 3D and sneek into Drag Me To Hell! I'm reading on twitter that it's pretty good"
92162,1,<MENTION> also works in<HASHTAG> -texteditor <URL>
10048,1,'If ur really a Prince I'll marry you' hehe!
64226,1,<MENTION> Learn something by Johnny Cash! I Walk the Line
43906,1,<MENTION> nyc. i read ur article about da A.I i tnhk u want adam lambert? hahahaha)
69658,1,"<MENTION> Stay tuned, it's coming"
34220,1,<MENTION> im great and proud to be a bsb fan<HASHTAG>
77364,0,<MENTION> lol i ws watching suspect zero and se7en. really spooky ones
41502,1,<MENTION> I <3 U more than Shaun <3's himself
49767,0,<MENTION> OH NO! I did get your tweet. Sorry I missed it. But thank you very much for your help today.
54854,1,<MENTION> message me your ym address
93871,0,<MENTION> yeah... I think she just got a little bug
9175,0,'I can't take it any longer i though that we were stronger' - about someone who i thought loved me
25237,0,"<MENTION> raises, puts ppl on Furlough (like temp unemployment)...I expect nothing out of this employer"
99819,0,"<MENTION> Sorry about the rain. But, Yay, for pedi! Icy Blue is a great choice! And, now 5000 peeps buy out Icy Blue polish."
67270,1,<MENTION> If the guts don't feel good...nothing feels good
76756,1,<MENTION> Be able to check and reply to notes and favourites
49133,0,<MENTION> awwwwww....
57511,1,"<MENTION> lol worst thing is, we're verbally talking too"
89821,1,<MENTION> thanks a bunch I will keep the offer in mind
93543,0,<MENTION> so sad people are dying <URL>
34813,1,<MENTION> hells yea boy u better work that shit. i aint neva been scared to take no dick lmao made that up just for u keemie
1666,0,"Dear all, had to restore my computer and I have lost everything. Show delayed until I can get things back together."
66259,0,<MENTION> It hates me LOL
53934,1,"<MENTION> Yes yes, but not if my bum looks like a zebra a week afterwards"
48137,1,<MENTION> That is a great shot of your Hero Aron!
56128,0,<MENTION> it's kewl i just got back home too.. i didn't get you anything pretty either couldnt walk too much
87379,0,<MENTION> i know but arghhhh
98372,1,"<MENTION> <URL> - i'm not too bothered about eating the cookie, but can i eat you?"
88271,1,"<MENTION> not surprising, i loveeee the station!!! even though the people at work think im crazy"
7585,1,& at ashleys house
71859,0,"<MENTION> Oh, I can't. I mean, how would it work? I'd go, and then Lee'd go? We'll just wait for the DVD release."
44040,1,"<MENTION> Do not be sad to be at work today! if you're the only one, then you can freely break all work place rules that you hate"
24306,1,<MENTION> hehe then charged him a consulting fee of 20 bucks
64330,1,<MENTION> that was proactive..
61876,0,"<MENTION> ugh..again, not my sizes!!<HASHTAG> <HASHTAG> but I'm going to keep looking!!"
19691,0,<MENTION> you okay anything i can do
61018,1,"<MENTION> By the way, if you make any web sites or images in pink, I'd like to see them. So cool how you like pink!"
32252,1,<MENTION> Glad you liked the card! We sure are following you
85203,1,<MENTION> no such thing
76961,0,<MENTION> i was gonna go look at your pics but it told me that your myspace profile was under maintenance
1895,0,Farrah Fawcett has passed away
82339,0,<MENTION> my night was completely devoid of lips. At least lips intended for me. You were barely alive the last time they were haha
33670,1,"<MENTION> YOU BET I WILL. PM ME ON ICHAT OR WHATEVER, I'LL SUPPLY YOU WITH EVERYTHING"
47034,1,"<MENTION> Good morning Dewan!! I definitely will I'm not sure if I'll have another segment-if not today, def Monday! r u in Sac?"
55838,1,"<MENTION> As requested, thanks for asking <URL>"
48976,1,<MENTION> the Buttons are down here...in Texas
37456,0,"<MENTION> please brb, crying and eating a gallon of ice cream."
22459,1,<MENTION> 3 hours ago<MENTION> hey Butter!! howz ma sis doin?!
82399,1,<MENTION> she is not in California! she is in Germany
81195,1,<MENTION> those are great deals! we went to TGIF tonight.
55570,1,"<MENTION> i get what i want, yes. thus stepford-ish behavior you see. how are you? ham and sausages much? :... <URL>"
24947,1,"<MENTION> must your light, that i'm reflecting"
91754,1,"<MENTION> Yeah, I am secretaly a porn star... HAHAH, kiddin! Lol"
64780,1,"<MENTION> An Ignite for MTV Brasil? Que legal (awesome)! Let me know if you need help. I lived in Brasil for 2 years, speak Portuguese..."
56575,0,<MENTION> hemp cloth is marvelous but unfortunately no
85897,0,"<MENTION> why was youre day shit? and yeah im just thinking about the usual junk i think about, you know lol email meee xxxxx"
77787,1,"<MENTION> prob.. i think so at least! ..they havent gone on yet tho, so ..soon!"
89853,0,<MENTION> awww yea it sucks I've been laying here for 50 min can't sleep and it's 6am
62392,1,"<MENTION> Whoa, 5 times in just a week - youÃ¯Â¿Â½re on a roll<HASHTAG>"
99188,1,<MENTION> I knew I liked you for reason! I was at Def6 from 97-01. I'm guessing you were there after me?
21774,1,<MENTION> I guess they're busy at the moment
74438,1,"<MENTION> saturday here, 10 a.m. do u have coffee?"
94956,1,<MENTION> I heard the good news so far you must be excited w ystrday's Rangers win!
64930,0,<MENTION> I knooooowwww!! I'm so mad!! That run yesterday was unbelievable! It's pouring
65265,1,<MENTION> aww happy for you!
48387,1,<MENTION> I see... I see! You must agree!
92021,1,"<MENTION> Thanks b?n Tu?n . Vi?t ban ?Ã¯Â¿Â½m, khÃ¯Â¿Â½ng ch?ng vÃ¯Â¿Â½ con khÃ¯Â¿Â½ng qu?y"
35834,1,<MENTION> Thanks.
9478,1,'Chile o Caliente' I love this color!!! <URL>
63208,0,<MENTION> *hugs*
91704,0,"<MENTION> send em to me...yall needs some closure, cause if there's 1 thing I regret me and 'he' aint have any closure"
69193,1,<MENTION> do i still win if I do all 20 replys?
64934,0,<MENTION> Sorry your day was crummy
76943,0,<MENTION> Aww sounds like a sad story. I would have sixth-wheeled it up with you.
34045,1,"<MENTION>: no points, eh? Whut u want then?"
33668,1,<MENTION> welcome to twitter
99611,1,<MENTION> been off openview since ntt
67348,1,<MENTION> Follow me
4413,0,"one last thing, even thugh im sad that Danny Gokey went home, Kris was amazing last night! woulden't you agree?"
60222,1,<MENTION> lol - nice. should have said that...
46024,0,"<MENTION> nods & frowns... Just because we don'tgo through these struggles, doesn't mean we should let them happen elsewhere"
84746,1,<MENTION><MENTION> Thanks! Nice weather for celebrating London
12064,1,& this weekend was the shitt. (: apart from the drama. one night can't exactly change you forever. -__- can't wait to leave tomorrow!
32115,0,<MENTION> Now Miranda has another twitter page...ahhh! this is too much
61600,1,<MENTION> i wish i have a chance to live in tokyo one day
470,0,all day.. no play.
27907,0,"<MENTION> something wrong, layout of abduzzeedo site looks no good today, anyone?"
95853,1,<MENTION> it was my pleasure! Seeing you and Blair was pretty much amazing.
24075,1,<MENTION> Thank you for the translation! I was hoping it wasn't something too bad. World of Warcraft FTW!!!
16318,0,: i am so sleepy
36672,0,"<MENTION> the only thing my boss said to me today was, 'yo leila, you keepin it real?' haha sorry"
65897,1,"<MENTION> yeah, I do"
31345,1,<MENTION> When is it due? I hope everything goes as well for you as it did for my daughter.
11649,0,<HASHTAG> hurricane season now!!! daaaamn miami im n da crib all day <URL>
66651,1,<MENTION> thank u hope u can listen to his single heart on my sleeve he's a new artist www.myspace.com/michaeljohnsmusic
81903,1,"<MENTION> I know, talk about pushing the boat out! Those deserts certainly looked yummy!! So nice outside today, sunbathing time"
90851,0,<MENTION> yeahhh so saddd
34903,0,<MENTION> Maybe you should put some ice on it tonight?
79139,1,"<MENTION> Yeah, I'm liking! LMAO OK...need to get off of Twitter before I really get in trouble. Bored & idle time no beuno!!"
61147,1,<MENTION> you have no idea how jealous i am! seein grimmy! meetin jb an wembley! have a good time tell jb i sed i love them please!
69607,1,"<MENTION> np sis! wow sis, u really have so much voters!"
63116,1,<MENTION> Hello Rose! *waves* I don't believe we've met yet.
47836,1,<MENTION> thanks Arik! Are you going to be on<HASHTAG> tonight?
67868,1,<MENTION> we stole the 3d glasses under a ruse of scientific explanation the exhibition was great. Kirks writing was fantastic!
49988,1,<MENTION><MENTION> happy anniversary! you two are cute together!
38791,1,<MENTION> congratz!! Tell me how
69190,1,<MENTION> Haha....don't worry I just had one too! xx
6538,1,<HASHTAG> 32 is great Playing Little big planet and hanging out.
90865,1,<MENTION> thank you!
78225,0,<MENTION> oh yeah thats right when do you get back?
28753,1,<MENTION> Eager to hear from your end on the Dandeli front! Shall plan one during peak monsoon and you could lead us then ?
75043,1,<MENTION> Awesome picture! I'm so jealous since AJ's my favorite.
62877,1,"<MENTION> Yes it is , see you later"
79362,1,<MENTION> Tell me about it! What is obvious in real life makes for great entertainment on TV It is great to try and figure out the killer
84587,1,<MENTION> amazing story line on your new video!
15748,0,: I'm touched. -- I miss them <URL>
7446,0,<HASHTAG> I Tweet because i like being at work naked and no one knows...shit...now they do
66948,1,<MENTION> - He was tired of being on the dam road?
99334,0,"<MENTION> lol now i'm jealous, I've got a Tesco sandwich and resisted buying anything nice in a chocolate/sweet way"
18019,1,..Had a qood weekend with my top 3 lol ...back home ;; laundry and ish..studyin ina bit ... MOVING BACK TO NEW YORK iN 39DAYS
99421,1,<MENTION> yeah! i'm going to see them 18th november
43309,1,<MENTION> i would wear heels everyday if i enjoyed pain.
40088,1,<MENTION> lol dont be JEALOUS amanda...you're MY morning glory
72924,1,<MENTION> We'll be there as well. Wanted to double up since we've been gone a while.
73418,1,<MENTION> There's some extra mouses in the cabinets.
37126,0,"<MENTION> hey you. Girl I miss you where'd you disappear to? Tried callin and texting, miss the sound of your voice"
134,0,<HASHTAG> brighten my bad day! i never win anything...
65286,1,<MENTION> looks like you've been online since you woke up. You're posting news on twitter
93596,1,<MENTION>: oh no! thank goodness it's Saturday!
68373,1,<MENTION> oh okay dedication there huh? xD
84087,0,<MENTION> Amazing flower gift: May 29-May 31 2009. He died in his sleep. Rest in peace.
47484,1,<MENTION> Yay!
42476,1,<MENTION> I remember you from las year's Supanova. Hi. You were one of the girls who made me practise my blue steel in line
31377,0,"<MENTION>, you are always late dear"
30237,0,<MENTION> i know i totally shouldve but i didnt...
23390,1,<MENTION>: very cool ! and while you drive there you can say 'hey' to my brother ... he lives in the same town
22729,1,"<MENTION> i IE8 in a virtual machine, it's the best of both worlds"
17289,1,...he can get to second with me anytime!
40525,1,<MENTION> dope show! i haven't been to a show where i enjoyed my food while listening to fresh music
70150,0,<MENTION> Damn all you guests on it !! It's dieing and F5 ain't bringing it back to life
80886,1,"<MENTION> Say hi to my baby sis:<MENTION>.... Brooke, this is my good friend Carissa... the one that does<HASHTAG> w/me"
15885,1,":: Ahh... Joe<MENTION> has been on Twitter for <9 hours and he already has ~300 followers. Welcome to the Twitterscape, sir!"
70126,0,<MENTION> friends with dina and teresa..hope to see them back..not sure they will DC wives after Atlanta?
38882,1,<MENTION> I love you! Plans in the making!
78293,0,<MENTION> chelseyyyyyy hospital? MY MUM WORKS THERE love you muc.
13351,0,... I DONT WANT TO CLEAN
46190,1,<MENTION> hahaaa lookit him brood tell him I said hi
81533,0,<MENTION> I want to see you get there!! I watched too and I am really sad I wasn't able to get tickets to her tour
55755,1,<MENTION> <URL> - thats well cute Paris!!!
24452,0,<MENTION> not tonight bb....tomorrow....gotta get up early
77242,1,<MENTION> Nevermind Trolls and spammers are the speed bumps of the internet.
9831,1,<HASHTAG> <MENTION> she lives over the water but she loves yorkshire fish n chips
94905,0,<MENTION> Me too. I think I have Seasonal Affective Disorder!
79299,0,<MENTION> :aw
3250,0,"i want a iphone now lol, getting a tad bit jealous stupid 10 Month left on my Tmobile contract rawrrrr lol"
21995,1,"<MENTION> If you're interested in watching Wimbledon the next couple of weeks, it'll be on NBC."
92206,1,<MENTION> Good morning
87669,0,<MENTION> No? Tuna oysters scallops sounds heavenly. Leftover antipasti from lunch here
95590,0,<MENTION> similar taste in men then - except cowell
60828,1,"<MENTION> <URL> - i haven't said a word to you, but this picture, i must say is supperrr pretty"
93179,1,<MENTION> who needs food when you have the iPhone?
58410,0,"<MENTION> yes, we SO would today, tomorrow, on saturday and frlehgf the whole weekend shit."
76350,0,<MENTION> *sigh* It's over now. It was just a big blow of sand storm
29382,0,"<MENTION> Or the usual GCC 'You did something really dumb, but fuck it, I'm gonna let you do it anyway' response. I hate segfaults."
391,0,<MENTION> broke my twitter..
72041,1,<MENTION> How are you doing? Do u have info on teleprompter? Needing inexpensive teleprompter info please.
36063,1,"<MENTION> Just saw you play in St Paul.. Great show tonight, and a great end of the tour"
79967,1,<MENTION> Now it's rain again. With FREE extra wind
93844,1,<MENTION> *hand to ear* waiting...
43473,1,"<MENTION> you've got a point there boy, this is messed up."
19213,1,<MENTION> that's great it will be over before you know it xx
38371,1,<MENTION> ok i cmnted tom
3902,0,Last day of the holidays tomorrow.. Depressing!!
71322,1,"<MENTION> Awwwww, at least it's back to the green green grass"
71077,1,<MENTION> thank you cazz idk if i like it. x]
77935,1,<MENTION> ill coem to that pub thanks. i lvoe abi
69943,1,<MENTION> ur so sweet lol ur gonna give me a toothe ache lol hope ur paper gets a good grade
15793,0,"*YAAAWN* Stayed up too late last night, still gotta work & get up super early tomorrow"
89234,1,<MENTION> Naman! Labs kita eh! See yah later!
53877,1,<MENTION> You need to come back...aundrea is 'it'...you deserve to be on tv...so come back
24471,0,<MENTION> haha cool. I like this big glass brick one - is it the National Theatre? But I have never been inside
92024,1,<MENTION> - Thank you
6201,1,so happy. going to the Blink/FOB/P!ATD show ))
53451,0,<MENTION> girl aint he beautiful?? LOL that Eva is a lucky woman
63493,1,<MENTION><HASHTAG> I think you compliment him on his choice.
2570,0,i dont want to go to bed but im so tired
8538,0,twitter is freezing my poor fucking computer. *sigh* I'll be back later.
54510,1,<MENTION> i miss you more than life. -.- so erm.. when are you free?
90044,0,<MENTION> we don't get free tickets or food
97915,0,"<MENTION> Much thanks for your enlightening of me. This Aussie-Pom is lacking in 2 half-cultures, knowing only the other 2 half-cultures."
98936,1,<MENTION> lol i know that feeling! Im broke too! Dont worry x
42437,1,"<MENTION> Thanks for the follow, cute profile pic BTW"
32399,1,<MENTION> yes! i win.
91087,0,<MENTION> o yeah im watching stupid sunday television whole day....
